ABAD| abad. m y f. El que dirige una abadía o monasterio.
REMEDIO| remedio. m. Medicamento. Enmienda o corrección de un remedo.
REMESA| remesa. f Envío de una cosa.
REMEZÓN| remezón. m. Amér Sacudimiento breve de tierra
REMILGO| remilgo. m. Delicadeza exagerada.
REMITIR| remitir. tr. Enviar. Atenerse a lo dicho o hecho.
REMOJAR| remojar. tr. Empapar. Poner en agua.
REMONTA| remonta. f. Compra, cría y cuidado de caballos.
REMO| remo. m. Instrumento de madera de pala plana que sirve para mover embarcaciones. Brazo o pierna en el hombre y en los mamíferos. Alas de las aves. remoto  remoto, ta. adj. Distante, apartado.
REMOVER| remover. tr. Pasar una cosa de un lugar a otro. Revolver. Apartar a uno de su empleo. remozar  remozar tr. Dar robustez y lozanía. remuneración. f. Pago.
RENACER| renacer. intr. Volver a nacer.
RENAL| renal. adj. Perteneciente a los riñones.
RENCOR| rencor. m. Resentimiento tenaz.
RENDIJA| rendija. f. Hendija.
RENDIR| rendir. tr. Vencer.  Someter. Cansar, fatigar. renegar  renegar tr. Negar con insistencia. Pasarse de una religión a otra. Decir blasfemias.
RENGLÓN| renglón. m. Serie de palabras escritas o impresas en línea recta. rengo  rengo, ga. adj. Renco. Cojo, ja.
RENIEGO| reniego. m.  Maldición o dicho injurioso.
RENO| reno. m. Especie de ciervo que vive en los países nórdicos.
RENOVAR| renovar. tr. Hacer como nueva una cosa. Reanudar una relación.
RENTA| renta. f. Utilidad, beneficio que rinde una cosa. I I Lo que paga un arrendatario.
RENUEVO| renuevo. m. Brote.
REÑIR| reñir. intr. Disputar, contender. Enemistarse. reojo  reojo (mirar de). Mirar con prevención. reo  reo, a. m. y f. Persona acusada de delito.
REPARAR| reparar. tr. Componer una cosa.  Mirar con cuidado, advertir una cosa. Enmendar, remediar.  Restablecer las fuerzas.
REPARO| reparo. m. Restauración o remedio. Advertencia de una cosa. Dificultad.
REPECHO| repecho. m. Cuesta corta y empinada.
REPELER| repeler. tr. Arrojar una cosa de sí con violencia.
REPICAR| repicar. tr. Picar mucho.  Hacer sonar repetidamente las campanas.
REPISA| repisa. f. En arquitectura, especie de ménsula larga. Mueblecito colgante para apoyar objetos.
RÉPLICA| réplica. f. Argumento o discurso con que se responde a otro.  Copia de una obra de arte.
REPOLLO| repollo. m. Especie de col. reponer  reponer tr.Volver a poner. Reemplazar lo que falta.
REPOSAR| reposar. intr. Descansar.
REPRESA| represa. f. Obra para contener las aguas.
REPTAR| reptar. intr. Andar arrastrándose como algunos reptiles.
REPTIL| reptil. adj. Se dice de los animales vertebrados ovíparos u ovovivíparos de temperatura variable, como las serpientes, tortugas y lagartos.
REPULGO| repulgo. m. Borde que se hace en las empanadas.  Pliegue que se hace en la ropa.
RESABIO| resabio. m. Sabor desagradable que deja una cosa. Disgusto. resaca. f. Movimiento de retroceso de las olas después que han llegado a la orilla. resaltar  resaltar intr. Sobresalir.
RES| res. f. Animal del ganado vacuno, lanar, y también venado, jabalí, etc. res-  res- preposición inseparable que atenúa la significación de las voces a las que se halla unida, como resguardar. restablecer  restablecer tr. Volver a establecer una cosa. Recuperarse. restallar  restallar intr. Chasquear, estallar  Crujir.
RESTA| resta. f. Una de las cuatro reglas fundamentales de la aritmética.  Resultado de esta operación.
RESTAR| restar. tr. Sustraer una parte del todo.  Disminuir, rebajar
RESTO| resto. m. Parte que queda de un todo.
RESUMEN| resumen. m. Acción de resumir o resumirse.  Exposición resumida de un asunto, libro, etc.
RESUMIR| resumir. tr. Reducir un texto a lo más sustancial. Convertirse una cosa en otra. resurgir  resurgir intr. Surgir de nuevo.
RETAMA| retama. f. Planta de las papilionáceas que se cultiva en jardines por sus pequeñas flores amarillas muy aromáticas. retardar  retardar tr. Entorpecer, dilatar.
RETAR| retar. tr. Desafiar.  Reprender.
RETAZO| retazo. m. Pedazo de una tela. Trozo de un discurso.
RETENER| retener. tr. Conservar, guardar en sí. Guardar en la memoria
RETINA| retina. f. Membrana interior del ojo de los vertebrados y otros animales donde se reciben las sensaciones luminosas que se transmiten al cerebro.
RETIRO| retiro. m. Lugar apartado.  Situación del militar retirado. retobado  retobado, da. adj. Amér. Indómito, salvaje.
RETOBAR| retobar. tr. Arg. Forrar o cubrir con cuero. Indisciplinarse.
RETOCAR| retocar. tr. Volver a tocar.  Toques finales de un trabajo. retoñar  retoñar intr. Volver a echar vástagos las plantas.
RETO| reto. m. Desafío.
RETORTA| retorta. f. Vasija de cuello alto para química. retozar  retozar intr. Saltar alegremente.
RETRETA| retreta. f. Toque militar de retirada o para descansar de noche la tropa. Concierto en plazas o calles de la banda militar.
REUNIÓN| reunión. f. Conjunto de personas reunidas.
REUNIR| reunir. tr. Volver a unir.  Juntar, congregar.
REVELAR| revelar. tr. Descubrir lo secreto o ignorado. En fotografía, hacer visible la imagen impresa en una placa. revender  revender tr. Volver a vender io comprado. reventar  reventar intr. Abrirse una cosa por un impulso interior.  Brotar, nacer con ímpetu.  Fatigar mucho por exceso de trabajo. Morir violentamente.
REVÉS| revés. m. Parte opuesta a la cara principal.  Golpe que se da a otro con la mano vuelta. I Desgracia, contratiempo. revestir  revestir tr. Vestir una ropa sobre otra.  Cubrir con revestimiento. reviejo  reviejo, ja. adj. Muy viejo. revisar  revisar tr. Ver con atención y cuidado.
REVISTA| revista. f. Segunda vista o examen cuidadoso.  Inspección. Publicación periódica.
REVIVIR| revivir. intr. Volver a la vida, resucitar.  Volver en sí. Renovarse una cosa.
REVOCAR| revocar. tr. Anular, dejar sin efecto. Recubrir con material las paredes. revolcar  revolcar tr. Derribar a alguno y maltratarlo, pisotearlo. Vencer al adversario en controversias. Echarse sobre una cosa, refregándose en ella.
REVOQUE| revoque. m. Acción de revocar las paredes.  Mezcla con que se revoca.
REVUELO| revuelo. m. Vuelta y revuelta del vuelo. Agitación y confusión entre personas.
REYERTA| reyerta. f. Riña, contienda, disputa.
REY| rey. m. Jefe del Estado en una monarquía.
REZAGAR| rezagar. tr. Atrasa. Quedarse atrás.
REZAGO| rezago. m. Residuo, descarte. rezar  rezar tr. Orar. rezongar  rezongar intr. Gruñir, refunfuñar.
REZUMAR| rezumar. tr. Dejar un cuerpo pasar gotitas de un líquido a través de sus intersticios.
RIACHO| Riacho. riada.  Inundación, crecida.
RÍA| ría. f. Penetración del mar por la desembocadura de un río.
RIBERA| ribera. f. Orilla de mar o río. Tierra cercana a los ríos.
RIBETE| ribete. m. Cinta con que se guarnece la orilla de vestidos, zapatos, etc. ricachón  ricachón, na. m. y f. Despectivo de rico, o ricacho.
RICINO| ricino. m. Planta de las euforbiáceas, de tallo ramoso, color verde rojizo, hojas muy grandes, flores en racimos y fruto con semillas, de las cuales se extrae un aceite purgante, que lleva ese nombre. rico  rico, ca. adj. Adinerado. Sabroso
RICTUS| rictus. m. Contracción de los labios que descubre los dientes y da a la boca aspecto de risa.
RIEL| riel. m. Barra de metal en bruto.  Carril de una vía férrpa.
RIENDA| rienda. f. Cada una de las dos correas prendidas al freno con que se conduce un caballo.  fig. Gobierno, dirección de algo.
RIESGO| riesgo. Contingencia o proximidad de un daño.
RIESTRA| riestra. t. Ristra, sarta.
RIFA| rifa. f. Juego que consiste en sortear una cosa.
RIFLE| rifle. m. Fusil rayado de procedencia norteamericana. rígido  rígido, da. adj. Tieso, poco flexible. Riguroso, severo.
RIGOR| rigor. m. Severidad excesiva. Aspereza en el carácter o en el trato.  Intensidad.  Propiedad. precisión riguroso  riguroso, sa. adj. Muy severo, cruel.  Austero. rígido, estricto. Extremado. duro de soportar.
RIMAR| rimar. intr. Componer en verso.  Ser una palabra asonante o consonante de otra.
RINCÓN| rincón. m. Ángulo entrante en el encuentro de dos paredes o superficies.  Espacio pequeño.  Escondrijo.
RIÑA| riña. f. Pendencia. contienda, lucha.
RIÑÓN| riñón. m. Cada uno de los dos órganos situados a cada lado de la columna vertebral que segrega la orina.
RÍO| río. m. Corriente de agua continua y más o menos caudalosa que desemboca en otra. o en el mar.
RIPIO| ripio. m. Fragmentos de ladrillos, piedras y otros restos de obra de albañilería que se utilizan para rellenar, Grava. Palabra o frase de relleno para completar un verso.
RIQUEZA| riqueza. f. Abundancia de bienes.  Suma de cualidades.
RISA| risa. f. Movimiento de la boca y otras partes del rostro, que demuestra alegría.
RISCO| risco. m. Peñasco alto y escarpado. ríspído  ríspído, da. adj. Áspero, violento.
RISTRA| ristra. f. Trenza hecha con los tallos de los ajos y cebollas. Riestra. risueño  risueño, ña. adj. Que ríe con facilidad.  De aspecto agradable.  Próspero, favorable.
RITMO| ritmo. m. Combinación armoniosa de las palabras y cláusulas del lenguaje en prosa o en verso.. Orden acompasado.  En música, proporción entre el tiempo de un movimiento y el de otro.
RITO| rito. m. Orden establecido para !as ceremonias de una religión. Chile. Manta gruesa de hílo.
RIVAL| rival. com. Competidor.
RIZAR| rizar. tr. Formar artificialmente rizos en el pelo.  Formar el viento en las aguas olas pequeñas.  Ensortijarse naturalmente el pelo.
RIZO| rizo. m. Mechón de pelo que artificial o naturalmente tiene forma de sortija, bucle o tirabuzón.
RNOTA| rnota. f. Partícula de hilo u otra cosa que se pega en los vestidos o telas.
ROBAR| robar. tr. Tomar para sí lo ajeno.
ROBLE| roble. m. Árbol de tronco grueso y madera compacta, color pardo amarillento, que se utiliza para construcciones.
ROBOT| robot. m. Autómata.
ROCA| roca. f. Piedra muy dura y sólida.  Peñasco. . Cosa muy dura, firme y constante.
ROCE| roce. m. Acción y efecto de rozar o rozarse. l Trato frecuente con algunas personas. rociado  rociado, da. p. p. de rociar. f. Acción y efecto de rociar.
ROCIAR| rociar. intr. Caer sobre la tierra el rocío o la lluvia menuda.  Esparcir en gotitas muy finas el agua u otro líquido.
ROCÍN| rocín. m. Caballo de poca altura y mal aspecto.
ROCÍO| rocío. m. Vapor que con la frialdad de la noche se condensa en pequeñas gotitas sobre la superficie de la tierra, vegetales, etc.
ROCOCÓ| rococó. adj. Estilo barroco que predominó en Francia en tiempo de Luis XV. rocoso  rocoso, sa. adj. Paraje lleno de rocas.
RODADO| rodado. m. Arg. y Chile. Cualquier vehículo de ruedas.
RODAJA| rodaja. f. Tajada circular de un alimento.  Pieza circular plana.
RODAJE| rodaje. m. Conjunto de ruedas.  Filmación de una película.  Período de asentamiento de un automóvil. rodar  rodar tr. Dar vueltas un cuerpo alrededor de su eje sin cambiar de lugar o desplazándose. Moverse una cosa por medio de ruedas. Caer dando vueltas. Ir de un lado para otro.  Arg. Caer hacia adelante el caballo.
RODEAR| rodear. intr. Andar alrededor.tr. Poner cosas alrededor. Reunir el ganado en un sitio determinado.
RODEO| rodeo. m. Acción de rodear. Camìno más largo que el derecho:.  Vuelta que se da para librarse de alguien. Reunión del ganado disperso en el campo. Manera indirecta de decir una cosa.
RODETE| rodete. m. Rosca que se hacen las mujeres con el pelo.
RODILLA| rodilla. f. Articulación del muslo con la pierna. rodillera. f. Acolchado para la rodilla.
RODILLO| rodillo. m. Cilindro de madera o metal de diversos tamaños y usos. roedor  roedor, ra. adj. Que roe.  Se dice de los mamíferos que tienen dos incisivos que crecen continuamente y que les sirven para roer, como el ratón. roer  roer tr. Cortar menuda y superficialmente con los dientes una cosa dura.  fig. Atormentar interiormente.
ROGAR| rogar. tr. Suplicar. rojo  rojo, ja. adj. De color encarnado muy vivo.
ROLDANA| roldana. f. Rueda acanalada por donde corre la cuerda en un motón o garrucha. rollizo  rollizo, za. adj. Robusto, grueso. m. Madero en rollo.
ROLLO| rollo. m. Cilindro de cualquier materia.  fig. Discurso largo y fastidioso. Película fotográfica.
ROMANA| romana. f. Balanza con la que se pesa a pulso.
ROMANCE| romance. adj. Se aplica a las lenguas modernas derivadas del latín. Galanteo, flirteo. Composición en verso de origen español de rima asonante en todos los versos pares y sin rima en los impares.
ROMBO| rombo. m. Paralelogramo de lados iguales y dos de sus ángulos mayores que los otros dos.
ROMERÍA| romería. f. Peregrinación devota a un templo.  Fiesta popular.  Gran afluencia de gente. romo  romo, ma. adj. Sin punta.
ROMPER| romper. tr. Separar con cierta violencia las partes de un todo. Quebrar, hacer pedazos una cosa.  Gastar, destrozar.  Surcar, dividir.  Roturar. 
RONCAR| roncar. tr. Hacer ruido con la respiración cuando se duerme. ronco  ronco, ca. adj. Que tiene ronquera. Áspero, bronco.
RONDA| ronda. f. Acción de rondar.  Arg. Juego de niños que giran tomados de la mano.  Grupo de jóvenes que se reúnen de noche para dar serenatas.
RONDAR| rondar. intr. Andar de noche vigilando una población o edificio.  Dar vueltas alrededor de una cosa. 
RON| ron. m. Licor muy fuerte que se obtiene destilando melaza.
ROÑA| roña. f. Sarna del ganado lanar. Suciedad pegada fuertemente.
ROPA| ropa. f. Tela de cualquier clase, con variedad de cortes y hechuras, que sirve para uso o adorno de las personas o cosas. ropavejero  ropavejero, ra. m. y f. Persona que vende ropa y baratijas usadas.
ROPERO| ropero. m. Armario para guardar ropa. rosado  rosado, da. adj. Dícese del color de la rosa.
ROSAL| rosal. m. Arbusto tipo de la familia de las rosáceas, con tallos ramosos llenos de espinas, hojas ásperas y flores terminales de cinco pétalos. Hay muchas variedades.
ROSARIO| rosario. m. Sarta de cuentas con las que se sigue un conjunto de oraciones.
ROSA| rosa. f. Flor del rosal.   m. Color parecido al de la rosa.
ROSCA| rosca. f. Cualquier cosa redonda y gruesa que, cerrándose, forma círculo. Pan o bollo de esta forma. Vuelta de una espiral o conjunto de ellas.
ROSETA| roseta. f. pl. Granos de maíz  reventados al fuego.
ROTAR| rotar. intr. Rodar.  Alternarse los empleados en sus tareas. rotativo  rotativo, va. adj. Dícese de la máquina de imprimir en que se dispone la composición en forma de cilindro y que se utiliza para imprimir diarios y revistas.  f. La misma máquina. rotatorio  rotatorio, ria. adj. Que tiene movimiento circular.
ROTONDA| rotonda. f. Construcción de forma circular. roto  roto, ta. p. p. irreg. de romper.  adj. Andrajoso.  Desgarrado, quebrado.  m. Chile. Individuo de la clase más pobre del pueblo. rotoso  rotoso, sa. adj. Arg., Chile y Ecuad. Roto, andrajoso.
RÓTULA| rótula. f. Hueso redondo en la parte anterior de la rodilla.
RÓTULO| rótulo. m. Título de un escrito. Inscripción que da a conocer un contenido. rotundo  rotundo, da. adj. Redondo. fig. Dícese del lenguaje lleno y sonoro.  Terminante.
ROTURA| rotura. f. Acción de romper o romperse. roturar  roturar tr. Labrar por primera vez las tierras.
ROZAR| rozar. intr. Pasar una cosa tocando ligeramente la superficie de otra o acercándose mucho a ella.  Tratarse mucho dos o más personas.
RUBÉOLA| rubéola. f. Enfermedad infecciosa, contagiosa y epidémica, que se caracteriza por erupciones semejantes a las del sarampión. rubicundo  rubicundo, da. adj. Rubio rojizo.  Dícese de la persona de rostro muy sonrosado y que parece gozar de completa salud. rubio  rubio, a. adj. De color rojo claro parecido al del oro. Dícese especialmente del cabello de este color y de la persona que lo tiene.
